Greece,318
Macedonia,5
Malta,2
United Kingdom,88
Mexico,1
Romania,10
Germany,23
United States of America,40
Macedonia,5
Ireland,5
Denmark,3
Sweden,10
Italy,6
The Netherlands,14
Australia,11
Greece,318
Kyrgyzstan,1
Cyprus,27
Israel,16
Spain,10
Austria,4
Switzerland,2
Turkey,17
Belgium,8
India,1
Bulgaria,15
Serbia,10
Hungary,4
Slovenia,1
Macedonia,5
United Arab Emirates,3
China,1
United States,1
Russia,3
Belarus,1
Lebanon,2
District of Columbia,3
Norway,2
Czech Republic,3
Ukraine,1
Canada,5
Montenegro,1
Kosovo,2
Estonia,1
Bahrain,1
Bosnia and Herzegovina,2
Singapore,2
Indonesia,1
Macedonia,5
Albania,2
Philippines,1
Macedonia,5
Egypt,1
France,5
Luxembourg,1
Poland,1
Portugal,1
