_id,poi_name,title,date,review_rating,text,date_of_visit,reviewer
"{'id': '822488814', 'poi_location_id': '3807291', 'geolocation': 'g189473'}",To Tsai Thessaloniki,"Delicious tea, for tea lovers","December 19, 2021",50,"If you are a tea lover , this is the place to visit in Thessaloniki. Great variety, nice atmosphere, perfect service.",December 2021,"{'name': 'Stefanos B', 'handle': 'stefanosb114', 'location': 'Thessaloniki, Greece', 'contributions': 126, 'cities_visited': 20, 'helpful_votes': 84, 'distribution': {'Excellent': 31, 'Very Good': 73, 'Average': 23, 'Poor': 2, 'Terrible': 0}}"
"{'id': '821022146', 'poi_location_id': '10798846', 'geolocation': 'g189473'}",Koukos,Tasty croissants,"December 4, 2021",50,"The place has incredible decoration, very unique for this city. I ordered a freddo espresso, which I liked very much, and two small croissants. I went there to drink coffee, but the croissants won my heart. Before I leave, I took another two for home....More",October 2021,"{'name': 'Jimmys', 'handle': 'Poliorkitis96', 'location': 'Thessaloniki, Greece', 'contributions': 25, 'cities_visited': 4, 'distribution': {'Excellent': 16, 'Very Good': 4, 'Average': 3, 'Poor': 1, 'Terrible': 1}}"
"{'id': '831588926', 'poi_location_id': '15117133', 'geolocation': 'g189473'}",Judah Club,WOW!,"March 18, 2022",50,Store and cafe - 5/5. Food and food presentation - 5/5. Staff and owner - 100/5. Easily one of the nicest places we have ever came across during our travels in Greece. The hospitality and friendliness of the owner and the staff is matched by...More,March 2022,"{'name': 'Reza S', 'handle': '392rezas', 'contributions': 13, 'cities_visited': 11, 'helpful_votes': 11, 'distribution': {'Excellent': 9, 'Very Good': 2, 'Average': 0, 'Poor': 1, 'Terrible': 2}}"
"{'id': '793282537', 'poi_location_id': '3807291', 'geolocation': 'g189473'}",To Tsai Thessaloniki,Awesome place!,"June 20, 2021",50,"The staff was amazing, the tea sublime and the ambience great! I got the yerba mate and then came back the next day for an iced vanilla matcha latte. Both teas were so good I didn't feel like doing anything except drinking and enjoying the experience",June 2021,"{'name': 'Dee', 'handle': 'deesvs', 'location': 'Thessaloniki Region, Greece', 'contributions': 2, 'cities_visited': 1}"
"{'id': '802555010', 'poi_location_id': '10798846', 'geolocation': 'g189473'}",Koukos,Great pastry and sandwich shop,"August 8, 2021",50,"Went to this shop out of curiosity and to try some pastry with feta and something sweet. The quality is there, the staff are helpful and they also offered some pastries on the house.",August 2021,"{'name': 'Stefan Laurentiu', 'handle': 'stefanlaurentiu1989', 'contributions': 6, 'cities_visited': 3, 'helpful_votes': 4, 'distribution': {'Excellent': 6, 'Very Good': 0, 'Average': 0, 'Poor': 0, 'Terrible': 0}}"
"{'id': '831030221', 'poi_location_id': '15117133', 'geolocation': 'g189473'}",Judah Club,Amazing,"March 13, 2022",50,"Amazing food, sun is up was delicious and the think pink pancake were mins blowing Great service, the staff was very friendly and spoke great english",March 2022,"{'name': 'Cynthia A', 'handle': 'H9795OWcynthiaa', 'location': 'Varna, Bulgaria', 'sex': 'woman', 'contributions': 1, 'cities_visited': 2}"
"{'id': '757693667', 'poi_location_id': '3807291', 'geolocation': 'g189473'}",To Tsai Thessaloniki,Detox,"June 19, 2020",50,"To Tsai is a wonderful place, calm, quiet, relaxing music, very friendly staff, great variety of teas - warm recommendations!",June 2020,"{'name': 'Milica Komadinic', 'handle': 'Milica23', 'contributions': 12, 'cities_visited': 8, 'helpful_votes': 13, 'distribution': {'Excellent': 12, 'Very Good': 0, 'Average': 0, 'Poor': 0, 'Terrible': 0}}"
"{'id': '800638019', 'poi_location_id': '10798846', 'geolocation': 'g189473'}",Koukos,Fantastic delicious and healthy food,"July 30, 2021",50,"The Koukos tiropitaki is a place where you can find delicious food any time of the day. You can choose between many greek traditional pitas, Greek pies, pastries and round bread roll from Thessaloniki. You can your amazing coffee, americano, frappé or freddo espresso and even the traditional greek coffee. Koukos tiropitaki is a very clean place and has clean and modern toilets. If you ever travel to Thessaloniki Koukos tiropitaki is a MUST place to visit.",July 2021,"{'name': 'athanasia t', 'handle': '452athanasiat', 'contributions': 3, 'cities_visited': 3, 'helpful_votes': 1, 'distribution': {'Excellent': 2, 'Very Good': 0, 'Average': 0, 'Poor': 0, 'Terrible': 1}}"
"{'id': '830502920', 'poi_location_id': '15117133', 'geolocation': 'g189473'}",Judah Club,The pinkest bar in Thessaloniki,"March 8, 2022",50,I spent three days with my friends in Thessaloniki and we spent two of those days here whishing that we could have had even more time to try everything on the menu. Be sure that anything you choose will be just amazing and dont get me started on the service… the guys are just so polite and friendly and the place looks really good and chic. If you are looking for a brunch place this is just a must go spot here!,March 2022,"{'name': 'traveller', 'handle': 'adventureandtravel21', 'contributions': 4, 'cities_visited': 4, 'distribution': {'Excellent': 4, 'Very Good': 0, 'Average': 0, 'Poor': 0, 'Terrible': 0}}"
"{'id': '736608512', 'poi_location_id': '3807291', 'geolocation': 'g189473'}",To Tsai Thessaloniki,Very good experience,"January 3, 2020",50,It is a non smoking shop. The Professionel is very polite. In general it's a very good place to visit with friends family or alone.,January 2020,"{'name': 'Theodosios S', 'handle': 'theodosioss', 'contributions': 5, 'cities_visited': 3, 'helpful_votes': 2, 'distribution': {'Excellent': 5, 'Very Good': 0, 'Average': 0, 'Poor': 0, 'Terrible': 0}}"
"{'id': '760432175', 'poi_location_id': '10798846', 'geolocation': 'g189473'}",Koukos,Freshly baked sandwiches!,"July 17, 2020",50,"Freshly baked sandwiches! (In the evening!!) Nice coffee, friendly staff, pet friendly, recycle friendly",July 2020,"{'name': 'Elena P', 'handle': 'elenapH3592UM', 'location': 'Pylaia, Greece', 'contributions': 17, 'cities_visited': 12, 'helpful_votes': 6, 'photo': 7, 'distribution': {'Excellent': 7, 'Very Good': 3, 'Average': 1, 'Poor': 0, 'Terrible': 6}}"
"{'id': '807049228', 'poi_location_id': '15117133', 'geolocation': 'g189473'}",Judah Club,Best breakfast,"August 29, 2021",50,The food was very good and friendly  Best breakfast in Thessaloniki Pancakes are the bomb! Definitely a visit worth when you are here,August 2021,"{'name': 'Dm C', 'handle': '837dmc', 'contributions': 1, 'cities_visited': 1}"
"{'id': '687226738', 'poi_location_id': '3807291', 'geolocation': 'g189473'}",To Tsai Thessaloniki,Best break,"July 6, 2019",50,"Any kind of tea, hot or cold, all delicious. Heat survival iced tea (I recommend you ask for regular strong, black, with lemon and honey). Friendly staff. Go!",July 2019,"{'name': 'ClaireMWrangsjo', 'handle': 'ClaireMWrangsjo', 'location': 'Stockholm, Sweden', 'age': '35-49', 'sex': 'woman', 'contributions': 5, 'cities_visited': 141, 'helpful_votes': 1, 'photo': 1, 'distribution': {'Excellent': 3, 'Very Good': 1, 'Average': 0, 'Poor': 0, 'Terrible': 0}}"
"{'id': '755377828', 'poi_location_id': '10798846', 'geolocation': 'g189473'}",Koukos,Best coffee in Thessaloniki,"May 24, 2020",50,"Lovely people, feels very warm and comfy. Delicious salads, excellent coffee! Keep going Koukos 🤩🤩",May 2020,"{'name': 'Chrysi A', 'handle': 'Chrysi1982', 'contributions': 1, 'cities_visited': 1}"
"{'id': '798024587', 'poi_location_id': '15117133', 'geolocation': 'g189473'}",Judah Club,Perfect Time,"July 19, 2021",50,"We had a lovely moment at Judah Club! We loved the juices and the pancakes ! People inside are very nice, and helpful! Thx to Savvas and is tips!",July 2021,"{'name': 'Sarah D', 'handle': 'O5153MFsarahd', 'contributions': 8, 'cities_visited': 7, 'helpful_votes': 2, 'photo': 3, 'distribution': {'Excellent': 6, 'Very Good': 0, 'Average': 1, 'Poor': 1, 'Terrible': 0}}"
"{'id': '681662358', 'poi_location_id': '3807291', 'geolocation': 'g189473'}",To Tsai Thessaloniki,Best The-place,"June 15, 2019",50,This is one of the best the-places I’ve been to! If you like the then this is the place to visit. Buy the with you and one really nice the is the Japanese Bancha or Jasmine. Or just sit down and relax with a great cup of the.,June 2019,"{'name': 'Ken', 'handle': 'KenS990', 'location': 'Stockholm, Sweden', 'age': '35-49', 'sex': 'man', 'contributions': 61, 'cities_visited': 24, 'helpful_votes': 42, 'photo': 179, 'distribution': {'Excellent': 35, 'Very Good': 20, 'Average': 5, 'Poor': 1, 'Terrible': 0}}"
"{'id': '749313145', 'poi_location_id': '10798846', 'geolocation': 'g189473'}",Koukos,Love it.,"March 5, 2020",50,Very friendly stuff and amazing products. Try the sesame bagel with tahini and the handmade bars. These are my favorite ones. But not only. Everything are handmade and from good ingredients.,March 2020,"{'name': 'stavroulini_1980', 'handle': 'stavroulini_1980', 'location': 'Thessaloniki, Greece', 'contributions': 9, 'cities_visited': 4, 'helpful_votes': 10, 'distribution': {'Excellent': 9, 'Very Good': 0, 'Average': 0, 'Poor': 0, 'Terrible': 0}}"
"{'id': '796411833', 'poi_location_id': '15117133', 'geolocation': 'g189473'}",Judah Club,Amazing Food and Shopping,"July 10, 2021",50,"Wonderful experience, exceptionally polite stuff, grate food. The place is decorated inredibly, brings beautiful vibes. Furthermore you can find clothing on the inside. It's definately something else.",June 2021,"{'name': 'Kleio', 'handle': 'Trail15329276249', 'location': 'Thessaloniki, Greece', 'contributions': 1, 'cities_visited': 1}"
"{'id': '632722671', 'poi_location_id': '3807291', 'geolocation': 'g189473'}",To Tsai Thessaloniki,My favorite tea shop!,"November 11, 2018",50,No smoking aloud! Friendly environment! Friendly employees! Many tea choices! You can buy tea for home! Also teapots....amazing!!! Nice decor! Music a bit loud for me but you can have conversation without yelling!!! It’s a gem of the city center! Convenient for a break from cite seeing or shopping! Truly great for tea lovers! I am one of them and I am difficult to please!,November 2018,"{'name': '387Nina77', 'handle': '387Nina77', 'location': 'Thessaloniki, Greece', 'contributions': 34, 'cities_visited': 92, 'helpful_votes': 8, 'photo': 11, 'distribution': {'Excellent': 31, 'Very Good': 2, 'Average': 1, 'Poor': 0, 'Terrible': 0}}"
"{'id': '714741243', 'poi_location_id': '10798846', 'geolocation': 'g189473'}",Koukos,Loved the sandwiches,"October 2, 2019",50,"It’s beautifully decorated, feels very warm and comfy. It has a really nice variety of foods. The sandwiches are so tasty and there are some unique options. I can feel full just by eating one of them and it stays that way for hours. The staff was very very kind. They also offer delivery wooo",October 2019,"{'name': 'Simfi99', 'handle': 'Simfi99', 'location': 'Thessaloniki, Greece', 'contributions': 12, 'cities_visited': 4, 'helpful_votes': 10, 'distribution': {'Excellent': 11, 'Very Good': 0, 'Average': 0, 'Poor': 1, 'Terrible': 0}}"
"{'id': '792943552', 'poi_location_id': '15117133', 'geolocation': 'g189473'}",Judah Club,Breakfast of Champions.,"June 17, 2021",50,"They say breakfast is the most important meal of the day, and no questions about it Judah Club is the place to have it. My girl had the Red Forrest pancakes and I an egg dish similar to a “Benedict.” DELICIOUS! Considering this is my first time reviewing a place speaks volumes. ENJOY!",June 2021,"{'name': 'Georgos A', 'handle': '1georgosa', 'location': 'New Jersey', 'contributions': 4, 'cities_visited': 5, 'distribution': {'Excellent': 3, 'Very Good': 0, 'Average': 1, 'Poor': 0, 'Terrible': 0}}"
"{'id': '631340190', 'poi_location_id': '3807291', 'geolocation': 'g189473'}",To Tsai Thessaloniki,Tea for dreaming!!!,"November 6, 2018",50,The best place to rest your mind! More kinds of tea than you ever thought exist!!! You should definitely try it.,November 2018,"{'name': 'Christos', 'handle': 'cvoultsidis', 'contributions': 1, 'cities_visited': 1, 'helpful_votes': 1, 'photo': 1}"
"{'id': '714678278', 'poi_location_id': '10798846', 'geolocation': 'g189473'}",Koukos,Bakery,"October 1, 2019",50,very good quality and friendly staff. Very nice coffee to start your day and excellent breakfast with fair prices. It also includes delivery service,October 2019,"{'name': 'Sunshine54253507240', 'handle': 'Sunshine54253507240', 'location': 'Thessaloniki Region, Greece', 'contributions': 1, 'cities_visited': 1}"
"{'id': '788166662', 'poi_location_id': '15117133', 'geolocation': 'g189473'}",Judah Club,You must try the pancakes! So tasty,"May 7, 2021",50,"Ordered Oreo and Think Pink and they were AMAZING. the order was fast and soooo good, but it's too much food and we couldn't finish all",May 2021,"{'name': 'Monica M', 'handle': 'monicamm18', 'contributions': 3, 'cities_visited': 3, 'helpful_votes': 11, 'distribution': {'Excellent': 4, 'Very Good': 0, 'Average': 0, 'Poor': 0, 'Terrible': 1}}"
